nID;nID_Subject;sOKPO;sFormPrivacy;sName;sNameFull
1;268;;;Головне територіальне управління юстиції — кореневий;ГТУЮ у Дніпропетровській області
2;269;;;Головне територіальне управління юстиції;ГТУЮ у Дніпропетровській області Головне територіальне управління юстиції
3;270;;;Відділ організаційної роботи, документування та контролю;ГТУЮ у Дніпропетровській області Відділ організаційної роботи, документування та контролю
4;271;;;Відділ судової роботи  та міжнародного співробітництва;ГТУЮ у Дніпропетровській області Відділ судової роботи  та міжнародного співробітництва
5;272;;;Сектор з питань забезпечення діяльності Урядового уповноваженого у справах  Європейського суду з прав людини;ГТУЮ у Дніпропетровській області Сектор з питань забезпечення діяльності Урядового уповноваженого у справах  Європейського суду з прав людини
6;273;;;Управління державної реєстрації;ГТУЮ у Дніпропетровській області Управління державної реєстрації
7;274;;;Відділ розгляду звернень та забезпечення діяльності комісії з питань розгляду скарг у сфері державної реєстрації;ГТУЮ у Дніпропетровській області Відділ розгляду звернень та забезпечення діяльності комісії з питань розгляду скарг у сфері державної реєстрації
8;275;;;Відділ розгляду звернень та забезпечення діяльності комісії з питань розгляду скарг у сфері державної реєстрації;ГТУЮ у Дніпропетровській області Відділ розгляду звернень та забезпечення діяльності комісії з питань розгляду скарг у сфері державної реєстрації
9;276;;;Відділ державної реєстрації актів цивільного стану;ГТУЮ у Дніпропетровській області Відділ державної реєстрації актів цивільного стану
10;277;;;Відділ державної реєстрації друкованих засобів масової інформації та громадських формувань;ГТУЮ у Дніпропетровській області Відділ державної реєстрації друкованих засобів масової інформації та громадських формувань
11;278;;;Сектор взаємодії з суб’єктами державної реєстрації та підвищення кваліфікації державних реєстраторів;ГТУЮ у Дніпропетровській області Сектор взаємодії з суб’єктами державної реєстрації та підвищення кваліфікації державних реєстраторів
12;279;;;Відділи державної реєстрації актів цивільного стану у регіоні;ГТУЮ у Дніпропетровській області Відділи державної реєстрації актів цивільного стану у регіоні
13;280;;;Відділ з питань нотаріату Управління з питань нотаріату та банкрутства;ГТУЮ у Дніпропетровській області Відділ з питань нотаріату Управління з питань нотаріату та банкрутства
14;281;;;Управління державної виконавчої служби;ГТУЮ у Дніпропетровській області Управління державної виконавчої служби
15;282;;;Відділ організації та контролю за виконанням рішень;ГТУЮ у Дніпропетровській області Відділ організації та контролю за виконанням рішень
16;283;;;Відділ аналітики та статистики;ГТУЮ у Дніпропетровській області Відділ аналітики та статистики
17;284;;;Відділ примусового виконання рішень;ГТУЮ у Дніпропетровській області Відділ примусового виконання рішень
18;285;;;Відділи державної виконавчої служби у регіоні;ГТУЮ у Дніпропетровській області Відділи державної виконавчої служби у регіоні
19;286;;;Управління фінансового та матеріально-технічного забезпечення;ГТУЮ у Дніпропетровській області Управління фінансового та матеріально-технічного забезпечення
20;287;;;Відділ бухгалтерського обліку та звітності;ГТУЮ у Дніпропетровській області Відділ бухгалтерського обліку та звітності
21;288;;;Відділ планово-фінансової діяльності;ГТУЮ у Дніпропетровській області Відділ планово-фінансової діяльності
22;289;;;Відділ матеріально-технічного забезпечення;ГТУЮ у Дніпропетровській області Відділ матеріально-технічного забезпечення
23;290;;;Відділ з питань  договірної роботи та державних закупівель;ГТУЮ у Дніпропетровській області Відділ з питань  договірної роботи та державних закупівель
24;291;;;Управління кадрової роботи та державної служби;ГТУЮ у Дніпропетровській області Управління кадрової роботи та державної служби
25;292;;;Відділ організаційно-кадрової роботи;ГТУЮ у Дніпропетровській області Відділ організаційно-кадрової роботи
26;293;;;Відділ аналітико-методичної роботи;ГТУЮ у Дніпропетровській області Відділ аналітико-методичної роботи
27;294;;;Управління реєстрації нормативно-правових актів, правової роботи та правової освіти;ГТУЮ у Дніпропетровській області Управління реєстрації нормативно-правових актів, правової роботи та правової освіти
28;295;;;Відділ систематизації законодавства, правової роботи та правової освіти;ГТУЮ у Дніпропетровській області Відділ систематизації законодавства, правової роботи та правової освіти
29;296;;;Відділ реєстрації нормативно-правових актів;ГТУЮ у Дніпропетровській області Відділ реєстрації нормативно-правових актів
30;297;;;Управління з питань нотаріату та банкрутства;ГТУЮ у Дніпропетровській області Управління з питань нотаріату та банкрутства
31;298;;;Відділ з питань банкрутства Управління з питань нотаріату та банкрутства;ГТУЮ у Дніпропетровській області Відділ з питань банкрутства Управління з питань нотаріату та банкрутства
32;299;;;Сектор з питань запобігання і виявлення корупції;ГТУЮ у Дніпропетровській області Сектор з питань запобігання і виявлення корупції
33;300;;;Спеціаліст з внутрішнього аудиту;ГТУЮ у Дніпропетровській області Спеціаліст з внутрішнього аудиту

34;301;;;Агрофірма Мрія;Агрофірма Мрія
35;302;;;Цех1;Агрофірма Мрія - Цех1


36;320;;;Юр депт;Велта Юридический департамент
37;321;;;Фин депт;Велта Финансовый департамент
38;322;;;Тех депт;Велта Технологический департамент

39;323;;;ОЕ Підрозділ;ОЕ Підрозділ
40;324;;;ОЕ Напрямок;ОЕ Напрямок
41;325;;;ОЕ Департамент персоналу;ОЕ Департамент персоналу
42;326;;;ОЕ Департамент фінансовий;ОЕ Департамент фінансовий
43;327;;;ОЕ Правління;ОЕ Правління
44;328;;;ОЕ Відділ мотивації;ОЕ Відділ мотивації
45;329;;;ОЕ Канцелярія;ОЕ Канцелярія
46;330;;;ОЕ Бухгалтерія;ОЕ Бухгалтерія

47;319;;;Велта;

48;98;;;Мінюст тестова група;
49;347;;;Департамент БА початківці;Департамент БА початківці
50;351;;;Департамент БА;Департамент БА

51;362;;;МХП;МИРОНІВСЬКИЙ ХЛІБОПРОДУКТ
52;363;;;МХП Юридичне управління;Юридичне управління
53;364;;;МХП ФЕД;Фінансово - економічний департамент
54;365;;;МХП відділ;Департамент (відділ)

55;367;;;ОЕ Профспілковий комітет;ОЕ Профспілковий комітет

56;449;;;Департамент бюджетування авіапідприємств;Департамент бюджетування авіапідприємств - БіТі Солюшнс
57;450;;;Департамент бюджетування бізнес-проектів;Департамент бюджетування бізнес-проектів - БіТі Солюшнс
58;451;;;Департамент бюджетування хімічних підприємств;Департамент бюджетування хімічних підприємств - БіТі Солюшнс
59;452;;;Департамент бюджетування комерційних підприємств;Департамент бюджетування комерційних підприємств - БіТі Солюшнс
60;453;;;Департамент бюджетування енергетичних підприємств;Департамент бюджетування енергетичних підприємств - БіТі Солюшнс
61;454;;;Департамент бюджетування феросплавних підприємств;Департамент бюджетування феросплавних підприємств - БіТі Солюшнс
62;455;;;Департамент бюджетування інноваційних проектів;Департамент бюджетування інноваційних проектів - БіТі Солюшнс
63;456;;;Департамент бюджетування гірничодобувних і загальнобудівельних підприємств;Департамент бюджетування гірничодобувних і загальнобудівельних підприємств - БіТі Солюшнс
64;457;;;Департамент проектного бюджетування;Департамент проектного бюджетування - БіТі Солюшнс
65;458;;;Департамент з управління персоналом;Департамент з управління персоналом - БіТі Солюшнс
66;459;;;Департамент інформаційних технологій;Департамент інформаційних технологій - БіТі Солюшнс
67;460;;;Департамент правового та податкового забезпечення операцій;Департамент правового та податкового забезпечення операцій - БіТі Солюшнс
68;461;;;Департамент моніторингу бюджетних доходів;Департамент моніторингу бюджетних доходів - БіТі Солюшнс
69;462;;;Департамент з моніторингу ринку енергетичного обладнання;Департамент з моніторингу ринку енергетичного обладнання - БіТі Солюшнс
70;463;;;Департамент з моніторингу ринку запчастин до технологічного обладнання;Департамент з моніторингу ринку запчастин до технологічного обладнання - БіТі Солюшнс
71;464;;;Департамент тендерів з будівельних та спеціальних робіт;Департамент тендерів з будівельних та спеціальних робіт - БіТі Солюшнс
72;465;;;Департамент перед- та післятендерної роботи;Департамент перед- та післятендерної роботи - БіТі Солюшнс
73;466;;;Департамент тендерів з моніторінгу ринку сировини та матеріалів;Департамент тендерів з моніторінгу ринку сировини та матеріалів - БіТі Солюшнс
74;467;;;Департамент тендерів з технічної експертизи та ремонтів промислового обладнання;Департамент тендерів з технічної експертизи та ремонтів промислового обладнання - БіТі Солюшнс
75;468;;;Департамент тендерів транспорту та логістики;Департамент тендерів транспорту та логістики - БіТі Солюшнс
76;469;;;Керівництво;Керівництво - БіТі Солюшнс
77;470;;;Водії;Водії - БіТі Солюшнс
78;471;;;BT Solutions;БіТі Солюшнс
