nID;nID_Flow_ServiceData;nID_Service;nID_SubjectOrganDepartment
1;1;1;1
2;12;100;1
3;12;101;1
4;1;1397;1
5;13;29;13
6;13;26;13
7;13;28;13
8;13;184;13
9;13;173;13
10;13;175;13
11;13;1431;13
12;13;1432;13
13;17;29;14
14;17;26;14
15;1;1;1
16;17;173;14
17;27;29;23
18;27;26;23
19;1;1;1
20;27;173;23
21;29;29;24
22;29;26;24
23;31;29;25
24;31;26;25
25;33;29;26
26;33;26;26
27;35;29;27
28;35;26;27
29;37;29;28
30;37;26;28
31;42;29;29
32;42;26;29
33;43;29;30
34;43;26;30
35;44;29;31
36;44;26;31
37;45;29;32
38;45;26;32
39;1;1;1
40;57;173;25
41;57;175;25
42;57;1431;25
43;57;1432;25
44;57;25;25
45;55;1431;24
46;55;1432;24
47;27;175;23
48;17;175;14
49;17;184;14
50;27;184;23
51;29;184;24
52;31;184;25
53;17;185;14
54;27;185;23
55;29;185;24
56;31;185;25
57;4;176;11
58;4;177;11
59;20;176;16
60;20;177;16
61;21;176;17
62;21;177;17
63;22;176;18
64;22;177;18
65;23;176;19
66;23;177;19
67;24;176;20
68;24;177;20
69;25;176;21
70;25;177;21
71;26;176;22
72;26;177;22
73;13;185;13
74;33;184;26
75;33;185;26
76;1;1;1
77;33;175;26
78;33;173;26
79;13;25;13
80;33;25;26
81;27;25;23
82;30;28;24
83;55;175;24
84;55;173;24
85;74;24;42
86;74;25;42
87;74;26;42
88;74;28;42
89;74;29;42
90;74;173;42
91;74;175;42
92;74;176;42
93;74;177;42
94;74;184;42
95;74;185;42
96;74;1431;42
97;74;1432;42
98;45;25;32
99;45;28;32
100;45;173;32
101;45;175;32
102;45;184;32
103;45;185;32
104;45;1431;32
105;45;1432;32
106;75;25;43
107;75;26;43
108;75;28;43
109;75;29;43
110;75;173;43
111;75;175;43
112;75;184;43
113;75;185;43
114;75;1431;43
115;75;1432;43
116;35;25;27
117;73;25;40
118;73;26;40
119;73;28;40
120;73;29;40
121;73;173;40
122;73;175;40
123;73;184;40
124;73;185;40
125;73;1431;40
126;73;1432;40
127;37;25;28
128;62;25;41
129;62;26;41
130;62;24;41
131;62;29;41
132;62;173;41
133;62;175;41
134;62;184;41
135;62;185;41
136;62;1431;41
137;62;1432;41
138;63;173;47
139;63;175;47
140;63;25;47
141;64;25;48
142;64;26;48
143;64;24;48
144;64;29;48
145;64;173;48
146;64;175;48
147;64;184;48
148;64;185;48
149;64;1431;48
150;64;1432;48
151;60;25;44
152;60;26;44
153;60;24;44
154;60;29;44
155;60;173;44
156;60;175;44
157;60;184;44
158;60;185;44
159;60;1431;44
160;60;1432;44
161;61;25;45
162;61;26;45
163;61;24;45
164;61;29;45
165;61;173;45
166;61;175;45
167;61;184;45
168;61;185;45
169;61;1431;45
170;61;1432;45
171;65;25;49
172;65;26;49
173;65;24;49
174;65;29;49
175;65;173;49
176;65;175;49
177;65;184;49
178;65;185;49
179;65;1431;49
180;65;1432;49
181;18;176;14
182;18;177;14
183;28;176;23
184;28;177;23
185;30;176;24
186;30;177;24
187;32;176;25
188;32;177;25
189;34;176;26
190;34;177;26
191;38;176;28
192;38;177;28
193;39;176;50
194;39;177;50
195;40;176;51
196;40;177;51
197;41;176;52
198;41;177;52
199;46;176;53
200;46;177;53
201;47;176;54
202;47;177;54
203;48;176;55
204;48;177;55
205;49;176;56
206;49;177;56
207;50;176;57
208;50;177;57
209;51;176;58
210;51;177;58
211;52;176;59
212;52;177;59
213;53;176;60
214;53;177;60
215;76;28;62
216;76;173;62
217;76;175;62
218;77;39;63
219;59;25;46
220;80;25;66
221;80;26;66
222;80;24;66
223;80;29;66
224;80;173;66
225;80;175;66
226;80;184;66
227;80;185;66
228;80;1431;66
229;80;1432;66
230;81;25;67
231;81;26;67
232;81;24;67
233;81;29;67
234;81;173;67
235;81;175;67
236;81;184;67
237;81;185;67
238;81;1431;76
239;81;1432;76
240;82;25;68
241;82;26;68
242;82;24;68
243;82;29;68
244;82;173;68
245;82;175;68
246;82;184;68
247;82;185;68
248;82;1431;68
249;82;1432;68
250;59;1392;46
251;17;25;14
252;55;25;24
253;77;740;63
254;83;25;70
255;83;24;70
256;83;173;70
257;83;175;70
258;83;1431;70
259;83;1432;70
260;84;25;71
261;84;24;71
262;84;173;71
263;84;175;71
264;84;1431;71
265;84;1432;71
266;85;25;72
267;85;24;72
268;85;173;72
269;85;175;72
270;85;1431;72
271;85;1432;72
272;86;25;73
273;86;24;73
274;86;173;73
275;86;175;73
276;86;1431;73
277;86;1432;73
278;87;25;74
279;87;24;74
280;87;173;74
281;1;1;1
282;1;1;1
283;88;25;75
284;88;24;75
285;88;173;75
286;88;175;75
287;88;1431;75
288;88;1432;75
289;89;25;76
290;89;24;76
291;89;173;76
292;89;175;76
293;89;1431;76
294;89;1432;76
295;90;25;77
296;90;24;77
297;90;173;77
298;90;175;77
299;90;1431;77
300;90;1432;77
301;91;25;78
302;91;24;78
303;91;173;78
304;91;175;78
305;91;1431;78
306;91;1432;78
307;92;25;79
308;92;173;79
309;92;175;79
310;92;1431;79
311;92;1432;79
312;93;25;80
313;93;24;80
314;93;173;80
315;93;175;80
316;93;1431;80
317;93;1432;80
318;94;25;81
319;94;24;81
320;94;173;81
321;94;175;81
322;94;1431;81
323;94;1432;81
324;95;25;82
325;95;24;82
326;95;173;82
327;95;175;82
328;95;1431;82
329;95;1432;82
330;96;25;83
